Timestamp,Age,gender,No. of pets,pet,5. How important are health tracking features in a pet care device?,6. Which feature excites you the most in a pet care wearable?,"7. Would you use a pet care device that integrates with smart home devices (e.g., cameras, feeders)?","8. Is tracking your pet’s behavior (e.g., stress signs, unusual activity) important to you?",9. Which of these health insights would be most useful to you? (Choose up to 2),10. What kind of health information would be most useful for understanding your pet’s well-being?,11. How important is a waterproof design for a pet wearable?,"12. If you could add one “superpower” to a pet wearable, what would it be?",13. What features do you wish pet care products had to make your life as a pet owner easier? ,14. What price range would you consider reasonable for a basic pet care wearable?,15. Would you prefer payment options like installments for expensive pet care devices?  ,16. How do you decide whether a pet care product is worth its price? ,"17. How much extra would you pay for advanced AI features (e.g., personalized health recommendations)?",18. Would a monthly subscription plan for extra features and updates interest you?,"19. How important is a trial period (e.g., 30 days) before purchase?",20. Would bundle offers or discounts make you more likely to buy the product?,21. Where do you usually sniff out the best pet products?,22. How likely are you to purchase a pet care device online?,23. Would you like the option to try the product in-store before buying?,24. Would free shipping influence your decision to buy the product online?,25. What would make shopping for pet care products more convenient for you? ,26. Where do you discover paw-some new products for your pets?,27. What type of promotions would encourage you to buy this product?,28. How important are customer reviews when deciding to purchase a pet care product?,29. What type of marketing or promotions catch your attention when buying pet products?,30. Would you attend a live demo of this product at a pet care event?
11/17/2024 17:32:29,Below 20,Male,None – I don’t own pets (Please share why: ______________),None,Very Important,GPS tracking (real-time location updates),Definitely!,Yes,Early illness detection,Body temperature,Very Important,"Emotion detection (e.g., anxiety, happiness)",Gps tracking,₹5001–₹7000,No,Trying and testing by myself,₹1000,No,Important,Yes,"Online retailers (e.g., Amazon, Flipkart)",Likely,Yes,No,Showcasing the imporatnce and features of the device for understanding the it,"Social media (e.g., Instagram, Facebook)",Free trials,Important,Online marketing,No
11/17/2024 17:32:52,21–30,Male,2,Fish,Very Important,Smart home compatibility,Definitely!,Yes,"Early illness detection, Activity level tracking",all kind,Very Important,Automatic feeding reminders,all,Over ₹9000,No,income,Over ₹1500,No,Very Important,Yes,Veterinary clinics,Neutral,Yes,Maybe,food,Pet care websites,Discounts,Very Important,do know,Yes
11/17/2024 17:33:52,Below 20,Female,1,Dog(s),Very Important,AI-driven health recommendations,Definitely!,Yes,"Early illness detection, Nutrition recommendations",.,Very Important,"Emotion detection (e.g., anxiety, happiness)",.,₹3000–₹5000,Yes,.,₹1000,Yes,Very Important,Yes,"Online retailers (e.g., Amazon, Flipkart)",Likely,Yes,Yes,.,Word of mouth,"Bundle offers (e.g., with pet food)",Important,.,Yes
11/17/2024 17:34:17,Below 20,Male,3 or more,Rabbit ,Important,AI-driven health recommendations,"Maybe, depending on the features.",Maybe,"Early illness detection, Nutrition recommendations",..,Important,"Emotion detection (e.g., anxiety, happiness)",..,₹5001–₹7000,Maybe,..,₹1000,Maybe,Important,Yes,Pet specialty stores,Likely,Maybe,Maybe,..,Pet care websites,"Bundle offers (e.g., with pet food)",Important,..,Maybe
11/17/2024 17:35:11,Below 20,Male,1,Dog(s),Important,GPS tracking (real-time location updates),"Maybe, depending on the features.",Yes,"Early illness detection, Activity level tracking",.,Very Important,"Emotion detection (e.g., anxiety, happiness)",.,₹5001–₹7000,Maybe,.,₹1000,No,Important,Yes,Pet specialty stores,Neutral,Yes,No,.,"Social media (e.g., Instagram, Facebook)",Discounts,Very Important,.,No
11/17/2024 17:37:40,21–30,Male,1,Dog(s),Important,"Health monitoring (e.g., heart rate, sleep patterns)",Definitely!,Yes,"Early illness detection, Nutrition recommendations",illness detection ,Very Important,"Emotion detection (e.g., anxiety, happiness)",detect the pet's mood,₹3000–₹5000,Maybe,if it fulfills on all necessary features it promises ,₹1000,Maybe,Important,Yes,"Online retailers (e.g., Amazon, Flipkart)",Likely,Yes,Yes,if i knew how effective the product would be for my pet personally,"Social media (e.g., Instagram, Facebook)",Discounts,Very Important,social media campaigns,Maybe
11/17/2024 17:42:39,Below 20,Female,1,Cat(s),Important,GPS tracking (real-time location updates),Definitely!,Yes,"Early illness detection, Nutrition recommendations, Exercise suggestions",nutrition and exercise suggestions ,Very Important,Automatic feeding reminders,Emotion detection ,₹7001–₹9000,Maybe,If its suitable for my pet and doesn’t irritates them,₹1500,Maybe,Very Important,Yes,Veterinary clinics,Neutral,Yes,Maybe,Try-ons,Veterinary clinics,"Bundle offers (e.g., with pet food)",Important,Bundle offers,Maybe
11/17/2024 17:47:46,Below 20,Male,I used to have a dog until he passed away recently,Dog(s),Important,"Health monitoring (e.g., heart rate, sleep patterns)",Definitely!,Maybe,Early illness detection,any illness that can be caught early and prevented,Very Important,"Emotion detection (e.g., anxiety, happiness)",grooming is always a hassle so maybe something related to that ,₹5001–₹7000,Maybe,usability,₹1000,Maybe,Very Important,Yes,"Online retailers (e.g., Amazon, Flipkart)",Neutral,Maybe,Maybe,easy access,Word of mouth,"Bundle offers (e.g., with pet food)",Important,user feedback,Maybe
11/17/2024 17:50:37,Below 20,Female,2,Dog(s),Very Important,GPS tracking (real-time location updates),"Maybe, depending on the features.",Maybe,"Early illness detection, Activity level tracking",food indigestion,Neutral,Enhanced GPS tracking,Nill,₹7001–₹9000,Maybe,If it gives good result in lesser time.,₹1500,Maybe,Neutral,Yes,"Online retailers (e.g., Amazon, Flipkart)",Likely,Maybe,Maybe,Nill,Veterinary clinics,Free trials,Very Important,Influencers promoting video ,Yes
11/17/2024 17:51:03,Below 20,Female,None – I don’t own pets (Please share why: ______________),Other (please specify): ______________,Important,GPS tracking (real-time location updates),"Maybe, depending on the features.",Yes,"Early illness detection, Activity level tracking",.,Important,"Emotion detection (e.g., anxiety, happiness)",.,₹3000–₹5000,Maybe,.,₹500,Maybe,Important,Yes,"Online retailers (e.g., Amazon, Flipkart)",Unlikely,Maybe,Yes,.,"Social media (e.g., Instagram, Facebook)",Free trials,Important,.,Maybe
11/17/2024 17:56:34,Below 20,Male,2,Dog(s),Important,GPS tracking (real-time location updates),Definitely!,Yes,"Early illness detection, Nutrition recommendations",Nutrition ,Neutral,Enhanced GPS tracking,-,₹5001–₹7000,Maybe,-,₹1500,Maybe,Very Important,Yes,Pet specialty stores,Very Likely,Yes,Yes,-,Pet care websites,Free trials,Very Important,-,Yes
11/17/2024 17:57:39,Below 20,Male,3 or more,"Fish , bird , mouse , cow ",Very Important,GPS tracking (real-time location updates),"Maybe, depending on the features.",Yes,Nutrition recommendations,Health Patten ,Neutral,"Emotion detection (e.g., anxiety, happiness)",Pet medical devices ,₹5001–₹7000,Yes,By its efficiency and usefulness,₹500,Maybe,Very Important,Yes,Pet specialty stores,Neutral,Yes,Maybe,..,Veterinary clinics,"Bundle offers (e.g., with pet food)",Neutral,Products for specific species ,Yes
11/17/2024 17:57:53,Below 20,Female,None – I don’t own pets (Please share why: ______________),Dog(s),Very Important,"Health monitoring (e.g., heart rate, sleep patterns)",Definitely!,Yes,Early illness detection,Information about early illness detection ,Important,"Emotion detection (e.g., anxiety, happiness)",Location tracker,₹3000–₹5000,No,Whether it functions properly or not,₹1000,Maybe,Very Important,Yes,Veterinary clinics,Neutral,Yes,Yes,Early delivery ,"Social media (e.g., Instagram, Facebook)",Free trials,Very Important,Advertisements on television ,Yes
11/17/2024 18:10:41,Below 20,Female,1,Dog(s),Very Important,"Health monitoring (e.g., heart rate, sleep patterns)","Maybe, depending on the features.",Maybe,"Early illness detection, Nutrition recommendations",-,Very Important,Enhanced GPS tracking,Health monitoring ,₹3000–₹5000,Maybe,It’s functioning ,₹500,Maybe,Very Important,Yes,Veterinary clinics,Likely,Yes,No,-,Veterinary clinics,Free trials,Very Important,-,Maybe
11/17/2024 18:15:21,21–30,Male,none because I don't want to take care of pets,none,Not Important,GPS tracking (real-time location updates),"Maybe, depending on the features.",Yes,"Early illness detection, Nutrition recommendations",idk,Very Important,"Emotion detection (e.g., anxiety, happiness)",idk,₹3000–₹5000,No,when it's as cheap as possible,₹500,No,Very Important,No,Veterinary clinics,Unlikely,Yes,No,an app,Veterinary clinics,Free trials,Very Important,none ,No
11/17/2024 18:24:05,Below 20,Male,3 or more,Dog(s),Important,"Health monitoring (e.g., heart rate, sleep patterns)",Definitely!,Yes,Nutrition recommendations,Nutritional content of food tracker,Neutral,"Emotion detection (e.g., anxiety, happiness)",Automatic feeding ,₹5001–₹7000,No,Must match my needs for my pet.,₹1500,No,Very Important,Yes,"Online retailers (e.g., Amazon, Flipkart)",Very Likely,Maybe,No,Easy shipping ,"Social media (e.g., Instagram, Facebook)",Discounts,Important,Unique ads with pets,Maybe
11/17/2024 18:29:31,Below 20,Female,None – I don’t own pets (Please share why: ______________),None,Important,GPS tracking (real-time location updates),Definitely!,Yes,"Activity level tracking, Nutrition recommendations",.,Neutral,"Emotion detection (e.g., anxiety, happiness)",  .,₹3000–₹5000,Yes,.,₹500,Yes,Very Important,Yes,Other,Neutral,Yes,Yes,..,Pet care websites,Free trials,Important,..,Yes
11/17/2024 18:39:58,Below 20,Female,None – I don’t own pets (Please share why: ______________),None,Very Important,"Health monitoring (e.g., heart rate, sleep patterns)","Maybe, depending on the features.",Yes,"Early illness detection, Nutrition recommendations",Behaviour,Important,"Emotion detection (e.g., anxiety, happiness)",Interactive toys,₹3000–₹5000,Yes,Durability ,₹1000,Yes,Important,Yes,Pet specialty stores,Neutral,Maybe,Maybe,Reviews,Pet care websites,Loyalty programs,Very Important,Educational content,Yes
